customer_id,total_calls,total_complaints,avg_csat_score,avg_sentiment_score,first_contact_date,last_contact_date,total_network_issues,total_billing_issues,total_service_issues,escalation_count,unresolved_issues,is_at_risk
CUST_000123,1,1,4.0,0.15,2025-01-15,2025-01-15,1,0,0,0,1,FALSE
CUST_001567,4,4,1.3,-0.65,2024-12-28,2025-01-15,3,1,0,2,3,TRUE
CUST_000456,2,2,1.0,-0.75,2024-12-20,2025-01-14,0,2,0,1,2,TRUE
CUST_000789,1,0,5.0,0.85,2025-01-14,2025-01-14,0,0,1,0,0,FALSE
CUST_001890,2,1,3.0,-0.12,2025-01-05,2025-01-13,1,0,0,0,1,FALSE
CUST_002123,1,0,5.0,0.90,2025-01-12,2025-01-12,0,0,1,0,0,FALSE
CUST_001234,3,2,2.3,-0.42,2024-12-15,2025-01-12,2,0,1,1,1,TRUE
CUST_002456,1,1,5.0,0.20,2025-01-11,2025-01-11,0,1,0,0,0,FALSE
CUST_002789,2,1,3.0,-0.08,2025-01-03,2025-01-11,1,0,0,0,1,FALSE
CUST_003012,1,0,5.0,0.75,2025-01-10,2025-01-10,0,0,1,0,0,FALSE
CUST_003345,2,2,2.0,-0.35,2024-12-22,2025-01-10,2,0,0,0,1,TRUE
CUST_003678,1,1,1.0,-0.80,2025-01-09,2025-01-09,0,1,0,1,1,TRUE
CUST_004234,1,0,5.0,0.95,2025-01-08,2025-01-08,0,0,1,0,0,FALSE
CUST_004567,1,0,4.0,0.65,2025-01-08,2025-01-08,1,0,0,0,0,FALSE
CUST_004890,1,0,5.0,0.80,2025-01-07,2025-01-07,0,0,1,0,0,FALSE
CUST_005123,1,0,5.0,0.92,2025-01-07,2025-01-07,0,0,0,0,0,FALSE
CUST_003001,4,3,1.5,-0.70,2024-11-20,2025-01-06,3,0,0,2,2,TRUE
CUST_005456,2,2,2.0,-0.48,2024-12-10,2025-01-06,0,2,0,0,1,TRUE
CUST_005789,1,0,5.0,0.88,2025-01-05,2025-01-05,0,0,1,0,0,FALSE
CUST_006012,3,2,1.7,-0.62,2024-11-15,2025-01-05,2,0,0,1,2,TRUE
CUST_006345,1,0,4.0,0.58,2025-01-04,2025-01-04,0,0,1,0,0,FALSE
CUST_006678,1,0,5.0,0.95,2025-01-04,2025-01-04,0,0,1,0,0,FALSE
CUST_006901,2,1,2.5,-0.28,2024-12-18,2025-01-03,1,0,0,0,1,FALSE
CUST_007234,1,0,5.0,0.82,2025-01-03,2025-01-03,0,0,1,0,0,FALSE
