flag_id,claim_id,flag_date,flag_type,flag_source,risk_score,flag_description,siu_referral,siu_case_number,investigation_status,investigation_outcome,investigator_id,investigator_name,red_flags_identified,prior_claims_count,prior_fraud_indicators,resolution_date,resolution_notes
FRD-001,CLM-2025-00003,2025-01-10,Timeline Inconsistency,Adjuster Review,85,Inconsistencies in timeline of events reported. Vehicle last seen at 10 PM but theft reported next day with vague details.,Yes,SIU-2025-0012,Open,Pending,SIU-101,Marcus Webb,Timeline gaps; Payment difficulties; High-value vehicle,2,None,,SIU conducting recorded statement and financial background check
FRD-002,CLM-2025-00021,2025-01-06,Theft Pattern,Claims Analytics,72,Vehicle theft from Park-n-Ride with suspected key fob cloning. Similar MO to known fraud ring operating in metro area.,Yes,SIU-2025-0008,Open,Pending,SIU-103,Diana Rhodes,Key fob claim; Public location theft; Recent policy change,1,None,,Waiting period in effect. Cross-referencing with regional theft database
FRD-003,CLM-2025-00041,2025-01-07,Related Incidents,SIU Referral,78,Vehicle stolen from locked garage after garage opener stolen from another vehicle. Pattern suggests staged theft.,Yes,SIU-2025-0015,Open,Pending,SIU-101,Marcus Webb,Connected incidents; Locked garage entry; No forced entry signs,0,None,,Investigating connection between opener theft and vehicle theft
FRD-004,CLM-2025-00050,2025-01-15,Targeted Vandalism,Police Report,45,Anti-EV vandalism with hate crime elements. While likely legitimate reviewing for insurance fraud patterns.,Yes,SIU-2025-0018,Closed,Legitimate Claim,SIU-102,Janet Kim,Targeted damage; Political messaging; EV specific,0,None,2025-01-18,Police confirmed hate crime. No fraud indicators. Claim approved for processing
FRD-005,CLM-2025-00036,2025-01-20,Video Evidence Review,Store Security,55,Hit and run with partial plate visible on security footage. SIU assisting with vehicle identification.,Yes,SIU-2025-0019,Open,Pending,SIU-104,Robert Tran,Severe damage; Partial plate ID; Driver fled scene,0,None,,Working with police to identify responsible party for subrogation
FRD-006,CLM-2025-00012,2025-01-16,High Value Injury,Medical Review,62,Total loss with significant injury claim. Attorney involved. Reviewing for potential buildup or exaggeration.,No,,Monitoring,N/A,,,Attorney representation; Surgery required; GAP claim needed,1,None,,Standard monitoring for attorney-represented injury claims
FRD-007,CLM-2025-00017,2025-01-20,Vehicle Fire,Fire Investigation,35,Engine fire during normal operation. Fire department ruled accidental - electrical short. No arson indicators.,No,,Closed,Legitimate Claim,,,Electrical origin; No accelerants; Manufacturer defect possible,0,None,2025-01-20,Fire marshal report confirms accidental cause. Pursuing manufacturer subrogation
FRD-008,CLM-2025-00033,2025-01-17,EV Fire,Fire Investigation,40,Rivian fire during charging. Equipment failure confirmed by fire department. Reviewing for product liability.,No,,Closed,Legitimate Claim,,,Charging equipment failure; Fire department response; New vehicle,0,None,2025-01-18,Accidental fire confirmed. Subrogation against EVSE manufacturer initiated
FRD-009,CLM-2025-00005,2025-01-12,Multi-Party Accident,Liability Review,50,Four-vehicle chain reaction accident. Complex liability allocation. Monitoring for potential fraud coordination.,No,,Monitoring,N/A,,,Multiple parties; Construction zone; Injury claims,0,None,,Standard multi-vehicle accident review. No current fraud indicators
FRD-010,CLM-2025-00006,2025-01-12,Severe Injury,Medical Review,55,T-bone accident with serious passenger injuries. Other driver at fault per police. High BI reserve set.,No,,Monitoring,N/A,,,Broken ribs; Arm laceration; ER visit,0,None,,Monitoring medical treatment progression. No fraud indicators currently
FRD-011,CLM-2025-00019,2025-01-22,Flood Claim,Weather Verification,30,Garage flood damage claim. Weather records confirm heavy rainfall event in Parker area on date of loss.,No,,Closed,Legitimate Claim,,,Weather event confirmed; Garage location; Water line visible,0,None,2025-01-22,NOAA data confirms flooding event. Claim verified legitimate
FRD-012,CLM-2025-00011,2025-01-14,Catastrophe Claim,CAT Review,25,Part of CAT-2025-003 hail event. Damage consistent with regional hail reports. Standard CAT processing.,No,,Closed,Legitimate Claim,,,CAT event verified; Multiple area claims; PDR assessment matches,0,None,2025-01-15,Hail damage verified by PDR technician. 67 dents documented
FRD-013,CLM-2025-00035,2025-01-19,Service Negligence,Third Party Review,20,Engine seized after oil change service failure. Clear negligence by service center. Subrogation case.,No,,Closed,Legitimate Claim,,,Service receipt available; 2-mile failure distance; Drain plug missing,0,None,2025-01-19,Service center liability confirmed. Direct claim against Walmart Auto
FRD-014,CLM-2025-00048,2025-01-13,Vandalism Pattern,Police Analytics,58,Part of ongoing vandalism pattern at Lakewood mall. Police investigating organized activity.,No,,Monitoring,N/A,,,Pattern vandalism; Multiple victims; Security footage available,0,None,,Police investigating mall vandalism ring. Our claim part of larger pattern
FRD-015,CLM-2025-00023,2025-01-08,Vandalism Pattern,Police Analytics,52,Tire slashing at BWW parking lot. Part of area vandalism pattern. No specific fraud indicators.,No,,Closed,Legitimate Claim,,,Area pattern; Restaurant location; No suspects,0,None,2025-01-09,Vandalism confirmed part of area crime pattern. Claim legitimate
FRD-016,CLM-2025-00020,2025-01-08,Uninsured Motorist,UM Review,48,Collision with uninsured motorcyclist. Conflicting liability accounts. Dash cam footage being reviewed.,No,,Open,Pending,,,UM exposure; Conflicting accounts; Injury to other party,1,None,,Awaiting dash cam footage review for liability determination
FRD-017,CLM-2025-00043,2025-01-09,Mechanical Failure,Product Review,35,Brake failure caused collision with menu board. Investigating potential manufacturer defect.,No,,Monitoring,N/A,,,Brake system failure; Single vehicle; Low speed impact,0,None,,Vehicle inspection scheduled to determine brake failure cause
FRD-018,CLM-2025-00002,2025-01-07,Total Loss,Value Verification,28,Single vehicle accident total loss. ACV verified against market comparables. Standard total loss processing.,No,,Closed,Legitimate Claim,,,Weather conditions confirmed; Guardrail impact; Air bags deployed,0,None,2025-01-08,Total loss value verified. GAP insurance notification sent
FRD-019,CLM-2025-00049,2025-01-14,Valet Damage,Third Party Liability,22,Valet damaged high-value Maserati. Restaurant admits liability. Their carrier handling claim.,No,,Closed,Legitimate Claim,,,Witness confirmation; Restaurant admission; Valet company insured,0,None,2025-01-15,Third party liability confirmed. Direct claim against valet insurance
FRD-020,CLM-2025-00007,2025-01-12,Campus Vandalism,Location Pattern,42,Vehicle keyed at university campus. Part of series of similar incidents. No fraud indicators.,No,,Closed,Legitimate Claim,,,University location; Pattern incidents; No cameras,0,None,2025-01-12,Campus security confirms similar incidents. Claim processed as legitimate
